,id,Exited
0,165034,0
1,165035,0
2,165036,0
3,165037,0
4,165038,0
5,165039,0
6,165040,0
7,165041,0
8,165042,0
9,165043,0
10,165044,0
11,165045,0
12,165046,0
13,165047,0
14,165048,0
15,165049,0
16,165050,0
17,165051,0
18,165052,0
19,165053,0
20,165054,0
21,165055,0
22,165056,0
23,165057,0
24,165058,0
25,165059,0
26,165060,0
27,165061,0
28,165062,0
29,165063,0
30,165064,0
31,165065,0
32,165066,0
33,165067,0
34,165068,0
35,165069,0
36,165070,0
37,165071,0
38,165072,0
39,165073,0
40,165074,0
41,165075,0
42,165076,0
43,165077,0
44,165078,0
45,165079,0
46,165080,0
47,165081,0
48,165082,0
49,165083,0
50,165084,0
51,165085,0
52,165086,0
53,165087,0
54,165088,0
55,165089,0
56,165090,0
57,165091,0
58,165092,0
59,165093,0
60,165094,0
61,165095,0
62,165096,0
63,165097,0
64,165098,0
65,165099,0
66,165100,1
67,165101,0
68,165102,0
69,165103,0
70,165104,0
71,165105,0
72,165106,0
73,165107,0
74,165108,0
75,165109,0
76,165110,0
77,165111,0
78,165112,0
79,165113,0
80,165114,0
81,165115,0
82,165116,0
83,165117,0
84,165118,0
85,165119,0
86,165120,0
87,165121,0
88,165122,0
89,165123,0
90,165124,0
91,165125,0
92,165126,0
93,165127,0
94,165128,0
95,165129,0
96,165130,0
97,165131,0
98,165132,0
99,165133,0
100,165134,0
101,165135,0
102,165136,0
103,165137,0
104,165138,1
105,165139,0
106,165140,0
107,165141,0
108,165142,0
109,165143,0
110,165144,0
111,165145,0
112,165146,0
113,165147,0
114,165148,0
115,165149,0
116,165150,0
117,165151,1
118,165152,1
119,165153,0
120,165154,0
121,165155,0
122,165156,0
123,165157,0
124,165158,0
125,165159,0
126,165160,0
127,165161,0
128,165162,0
129,165163,0
130,165164,0
131,165165,0
132,165166,0
133,165167,0
134,165168,0
135,165169,0
136,165170,0
137,165171,0
138,165172,0
139,165173,0
140,165174,0
141,165175,0
142,165176,0
143,165177,0
144,165178,0
145,165179,0
146,165180,0
147,165181,0
148,165182,0
149,165183,0
150,165184,0
151,165185,0
152,165186,0
153,165187,0
154,165188,0
155,165189,0
156,165190,0
157,165191,0
158,165192,0
159,165193,0
160,165194,0
161,165195,1
162,165196,0
163,165197,0
164,165198,0
165,165199,0
166,165200,0
167,165201,0
168,165202,0
169,165203,0
170,165204,0
171,165205,0
172,165206,0
173,165207,0
174,165208,0
175,165209,0
176,165210,0
177,165211,0
178,165212,0
179,165213,0
180,165214,0
181,165215,0
182,165216,0
183,165217,0
184,165218,0
185,165219,0
186,165220,0
187,165221,0
188,165222,0
189,165223,0
190,165224,0
191,165225,1
192,165226,0
193,165227,0
194,165228,0
195,165229,0
196,165230,0
197,165231,0
198,165232,0
199,165233,0
200,165234,0
201,165235,0
202,165236,0
203,165237,0
204,165238,0
205,165239,0
206,165240,0
207,165241,0
208,165242,0
209,165243,0
210,165244,0
211,165245,0
212,165246,0
213,165247,0
214,165248,0
215,165249,0
216,165250,0
217,165251,0
218,165252,0
219,165253,0
220,165254,0
221,165255,0
222,165256,0
223,165257,0
224,165258,0
225,165259,0
226,165260,1
227,165261,0
228,165262,0
229,165263,0
230,165264,0
231,165265,0
232,165266,0
233,165267,0
234,165268,0
235,165269,0
236,165270,0
237,165271,0
238,165272,0
239,165273,0
240,165274,0
241,165275,0
242,165276,0
243,165277,0
244,165278,0
245,165279,0
246,165280,0
247,165281,0
248,165282,0
249,165283,0
250,165284,0
251,165285,0
252,165286,0
253,165287,0
254,165288,0
255,165289,0
256,165290,0
257,165291,1
258,165292,0
259,165293,0
260,165294,0
261,165295,0
262,165296,0
263,165297,0
264,165298,0
265,165299,0
266,165300,0
267,165301,0
268,165302,0
269,165303,0
270,165304,0
271,165305,0
272,165306,0
273,165307,0
274,165308,0
275,165309,0
276,165310,0
277,165311,0
278,165312,0
279,165313,0
280,165314,0
281,165315,0
282,165316,0
283,165317,0
284,165318,0
285,165319,0
286,165320,0
287,165321,0
288,165322,0
289,165323,0
290,165324,1
291,165325,0
292,165326,0
293,165327,0
294,165328,0
295,165329,0
296,165330,0
297,165331,0
298,165332,0
299,165333,0
300,165334,0
301,165335,0
302,165336,0
303,165337,0
304,165338,0
305,165339,0
306,165340,0
307,165341,0
308,165342,0
309,165343,0
310,165344,0
311,165345,0
312,165346,0
313,165347,0
314,165348,0
315,165349,0
316,165350,0
317,165351,0
318,165352,0
319,165353,0
320,165354,0
321,165355,0
322,165356,0
323,165357,0
324,165358,0
325,165359,0
326,165360,0
327,165361,0
328,165362,1
329,165363,0
330,165364,0
331,165365,0
332,165366,0
333,165367,0
334,165368,0
335,165369,0
336,165370,0
337,165371,0
338,165372,0
339,165373,0
340,165374,0
341,165375,0
342,165376,0
343,165377,0
344,165378,0
345,165379,0
346,165380,0
347,165381,0
348,165382,0
349,165383,0
350,165384,0
351,165385,0
352,165386,1
353,165387,0
354,165388,0
355,165389,0
356,165390,0
357,165391,0
358,165392,0
359,165393,0
360,165394,0
361,165395,0
362,165396,0
363,165397,0
364,165398,0
365,165399,0
366,165400,0
367,165401,0
368,165402,0
369,165403,0
370,165404,0
371,165405,0
372,165406,0
373,165407,0
374,165408,1
375,165409,0
376,165410,0
377,165411,0
378,165412,0
379,165413,0
380,165414,0
381,165415,0
382,165416,0
383,165417,0
384,165418,0
385,165419,0
386,165420,0
387,165421,1
388,165422,0
389,165423,0
390,165424,0
391,165425,0
392,165426,0
393,165427,0
394,165428,0
395,165429,0
396,165430,0
397,165431,0
398,165432,0
399,165433,1
400,165434,0
401,165435,0
402,165436,0
