,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,2.3,110.0,23.0,36.66666666666666,2.6666666666666665,82.59846666666667,8.504133333333334,2.1466666666666665,2.0066666666666664,1.2533333333333334,0.4568033333333333,7.666666666666668
1,5.5,406.0,30.4721355,9.902439024390244,4.682926829268292,19.813180487804875,11.456151219512195,2.7002439024390243,1.6768292682926829,0.8682926829268293,0.5229090243902439,0.7432228170731706
2,5.5,406.0,30.472464000000002,10.410256410256409,4.9230769230769225,20.931370931435897,11.541405128205128,2.7535897435897434,1.703846153846154,0.8943589743589744,0.4974982051282052,0.7813452307692307
3,5.5,476.0,61.142135499999995,11.609756097560975,4.682926829268292,23.659643902439022,11.48739512195122,2.7636585365853654,1.7146341463414634,0.8487804878048779,0.5194736585365853,1.4912715975609756
4,5.5,476.0,61.142464,12.205128205128204,4.9230769230769225,24.97508888015384,11.574251282051284,2.8202564102564103,1.7435897435897436,0.8738461538461538,0.4938866666666667,1.5677554871794872
5,6.0,113.0,13.512992,11.3,4.7,23.099694928,11.10535,2.72,1.7630000000000003,0.8959999999999999,0.49411099999999997,1.3512992
6,5.5,136.0,9.509324000000001,11.333333333333336,4.666666666666667,22.71843416666667,10.958558333333334,2.599166666666666,1.7658333333333334,0.97,0.4990741666666666,0.7924436666666667
7,3.8,41.0,9.44,20.5,4.0,43.498522,8.897,2.065,1.925,1.165,0.477015,4.7200000000000015
8,6.3,130.0,10.670656,10.0,4.9230769230769225,20.17042675230769,11.117292307692306,2.7507692307692304,1.7361538461538462,0.8753846153846153,0.4966061538461538,0.8208196923076924
9,5.8,226.0,20.68039975,10.761904761904765,4.761904761904762,21.72522707142857,11.485876190476189,2.764761904761905,1.698095238095238,0.8580952380952382,0.5206309523809525,0.9847809404761904
10,5.8,236.0,32.46039975,11.238095238095235,4.761904761904762,23.140469357142855,11.611666666666665,2.8171428571428567,1.6733333333333331,0.8152380952380953,0.5164433333333334,1.5457333214285716
11,5.8,302.0,30.89439975,14.38095238095238,4.761904761904762,31.252655642857142,11.431161904761904,2.7761904761904757,1.7085714285714286,0.8676190476190477,0.5125280952380953,1.4711618928571428
12,5.8,300.0,29.88839975,14.285714285714285,4.761904761904762,31.13736707142857,11.4348,2.774285714285714,1.7095238095238101,0.8771428571428572,0.5121852380952381,1.423257130952381
13,5.8,264.0,26.51839975,12.571428571428573,4.761904761904762,26.375497547619048,11.495790476190473,2.7857142857142856,1.6990476190476191,0.8600000000000001,0.5148823809523809,1.2627809404761905
14,5.8,366.0,41.02039975,17.428571428571427,4.761904761904762,40.00710326190475,11.50430476190476,2.793333333333333,1.7114285714285713,0.8733333333333335,0.5100442857142857,1.953352369047619
15,5.8,239.0,25.85539975,11.38095238095238,4.714285714285714,23.099677619047622,11.577142857142857,2.7752380952380955,1.7076190476190476,0.8580952380952382,0.5198571428571428,1.231209511904762
16,5.8,249.0,37.63539975000001,11.857142857142858,4.714285714285714,24.514919904761907,11.702933333333332,2.8276190476190477,1.682857142857143,0.8152380952380953,0.5156695238095238,1.792161892857143
17,5.8,315.0,36.06939975,15.0,4.714285714285714,32.62710619047619,11.522428571428573,2.786666666666666,1.718095238095238,0.8676190476190477,0.5117542857142857,1.7175904642857145
18,5.8,313.0,35.06339975,14.904761904761903,4.714285714285714,32.511817619047605,11.526066666666665,2.784761904761905,1.7190476190476192,0.8771428571428572,0.5114114285714285,1.6696857023809524
19,5.8,277.0,31.69339975,13.190476190476188,4.714285714285714,27.749948095238093,11.587057142857144,2.7961904761904757,1.7085714285714286,0.8600000000000001,0.5141085714285714,1.5092095119047615
20,5.8,379.0,46.19539975,18.047619047619047,4.714285714285714,41.38155380952381,11.595571428571427,2.8038095238095235,1.7209523809523808,0.8733333333333335,0.5092704761904762,2.1997809404761903
